hidden_layers,neurons,activation,solver,learning_rate,learning_rate_init,early_stopping,training_time,accuracy,confusion_matrix
1,100,relu,sgd,constant,0.001,False,101.67256593704224,0.8867,[[838   2  21  20   3   1 105   0  10   0]; [  5 966   2  17   5   0   4   0   1   0]; [ 18   1 831  16  72   1  59   0   2   0]; [ 27  11  15 876  39   0  28   0   4   0]; [  0   0  91  25 826   0  57   0   1   0]; [  1   0   0   1   0 962   0  19   2  15]; [123   4  76  24  71   1 689   0  11   1]; [  0   0   0   0   0  20   0 961   0  19]; [ 10   1   7   6   6   3   6   2 959   0]; [  0   0   0   0   0   9   1  31   0 959]]
2,100,relu,sgd,constant,0.001,False,30.993834495544434,0.8761,[[836   2  19  30   4   0 100   1   8   0]; [  4 962   3  20   5   0   5   0   1   0]; [ 16   0 797  17  96   2  69   0   3   0]; [ 27   8  12 886  34   0  27   0   6   0]; [  0   0  94  34 807   0  60   0   5   0]; [  0   0   0   1   0 943   0  37   2  17]; [131   3  88  30  71   0 664   0  13   0]; [  0   0   0   0   0  21   0 957   0  22]; [  5   0   4   7   5   6   5   3 965   0]; [  1   0   0   1   0   8   1  45   0 944]]
4,100,relu,sgd,constant,0.001,False,0.06277322769165039,0.1668,[[155  97 451   1 173  30  13  59   7  14]; [ 41 127 607   0 119   4  93   3   3   3]; [172  58 406   0 244  40   5  19   4  52]; [159  22 655   0 112  12  16  10   5   9]; [ 68  31 475   0 258  32   6  27  20  83]; [ 49  17 165   0 177 437  56   6  15  78]; [137  57 340   0 291  44  15  38  20  58]; [  1   2 473   0  27 372   8   2   9 106]; [ 43  39 272   0 155 198  13  52 187  41]; [ 22  36 520  14  14 135  22   2 154  81]]
8,100,relu,sgd,constant,0.001,False,0.12723422050476074,0.1053,[[  0   0   0 907   0   0   1   1  91   0]; [  0   0   0 816   0   0   0   0 184   0]; [  0   0   0 741   0   0   1   0 258   0]; [  0   0   0 944   0   0   0   0  56   0]; [  0   0   0 884   0   0   0   0 116   0]; [  0   0   0 949   0   0   0   7  44   0]; [  0   0   0 893   0   0   0   3 104   0]; [  0   0   0 990   0   0   0   0  10   0]; [  2   0   0 872   0   0   5  11 108   2]; [  0   0   0 829   0   0   0  17 153   1]]
16,100,relu,sgd,constant,0.001,False,0.05224728584289551,0.1,[[1000    0    0    0    0    0    0    0    0    0]; [1000    0    0    0    0    0    0    0    0    0]; [1000    0    0    0    0    0    0    0    0    0]; [1000    0    0    0    0    0    0    0    0    0]; [1000    0    0    0    0    0    0    0    0    0]; [1000    0    0    0    0    0    0    0    0    0]; [1000    0    0    0    0    0    0    0    0    0]; [1000    0    0    0    0    0    0    0    0    0]; [1000    0    0    0    0    0    0    0    0    0]; [1000    0    0    0    0    0    0    0    0    0]]
1,100,logistic,sgd,constant,0.001,False,0.09136128425598145,0.1259,[[  0 338   0   0   0 658   0   0   4   0]; [  0 234   0   0   0 766   0   0   0   0]; [  0 248   0   0   0 752   0   0   0   0]; [  0 349   0   0   0 646   0   0   5   0]; [  0 396   0   0   0 597   0   0   7   0]; [  0  14   0   2   0 981   0   0   2   1]; [  0 305   0   0   0 683   0   0  12   0]; [  0   6   0   7   0 986   0   0   1   0]; [  0 290   0   2   0 667   0   0  40   1]; [  0 466   0   6   0 523   0   0   1   4]]
1,100,tanh,sgd,constant,0.001,False,0.11743450164794922,0.5867,[[571  74  19 152  18  83  43   4  31   5]; [  2 888   4  59  26   8  11   0   1   1]; [ 69  46 417  22 295  89  18   4  27  13]; [ 59 262   2 600  16  42   8   7   4   0]; [ 64  61 139  21 613  59  16   6  21   0]; [ 25  11   3  11   1 627   1 209  15  97]; [134  64 160 128 268 161  32   6  39   8]; [  0   0   0   0   0 151   0 818   0  31]; [ 27  19  55  48  42 117   6  60 590  36]; [ 45   4  13  18   1  59   0 116  33 711]]
1,100,relu,adam,constant,0.001,False,0.2013225555419922,0.8029,[[776   2  20  52   3   2 133   0  11   1]; [ 12 932   6  35   7   0   7   0   1   0]; [ 25   4 665   7 158   3 130   0   8   0]; [ 40  14  11 825  45   2  58   0   5   0]; [  7   3 102  26 760   0  97   0   5   0]; [  1   0   1   2   0 851   0 115   2  28]; [189   2 121  35 124   3 506   0  20   0]; [  0   0   0   0   0  35   0 924   0  41]; [  6   1   7   3   4  21  28  12 915   3]; [  0   0   0   1   0  43   0  80   1 875]]
1,100,relu,sgd,invscaling,0.001,False,0.23088812828063965,0.0964,[[ 98  27   0  42  93 452   2 201   0  85]; [132  12   0  11   2 133   0 687   0  23]; [ 53 105   8  24 277 384   0 137   0  12]; [239  15   0  31  12 208   0 382   0 113]; [ 97 124   3  12 132 395   0 230   0   7]; [  2   1   0 261   8 496  10 209   1  12]; [ 92  55   2  47 118 477   2 179   0  28]; [  1   0   0 218   7 548  27 144   4  51]; [ 10   9   2  87 111 204   9 543   1  24]; [  2   2   1 251  98 312   4 287   3  40]]
1,100,relu,sgd,adaptive,0.001,False,0.21973800659179688,0.1618,[[132 159 272  89 215  67   0   0  29  37]; [ 38  47 351  91 420   1   0   9   2  41]; [ 59  19 586 202  65  15   0   1  20  33]; [145  34 208  81 459   4   0   5   6  58]; [156   6 424 266  82  13   0   2  19  32]; [ 63   0 296  66 394  52   6   0  49  74]; [169  27 385 148 167  25   0   2  18  59]; [212   0 101 150 138  68   0   0 229 102]; [ 52   6 340  73 115  26  10   4 206 168]; [  1   6 231   8  16 186   3   0 117 432]]
6,"841, 841, 841, 500, 300, 69",relu,adam,constant,0.001,False,0.21973800659179688,0.1618,[[132 159 272  89 215  67   0   0  29  37]; [ 38  47 351  91 420   1   0   9   2  41]; [ 59  19 586 202  65  15   0   1  20  33]; [145  34 208  81 459   4   0   5   6  58]; [156   6 424 266  82  13   0   2  19  32]; [ 63   0 296  66 394  52   6   0  49  74]; [169  27 385 148 167  25   0   2  18  59]; [212   0 101 150 138  68   0   0 229 102]; [ 52   6 340  73 115  26  10   4 206 168]; [  1   6 231   8  16 186   3   0 117 432]]
